iter	MultiClass
254	0.4985102181
255	0.4976791002
256	0.4961540059
257	0.4950468054
258	0.4941927191
259	0.4932665814
260	0.4924822672
261	0.4914788914
262	0.4900398343
263	0.4891426897
264	0.4880386164
265	0.486260304
266	0.4854833243
267	0.4843827095
268	0.4835757129
269	0.4827117019
270	0.4816591817
271	0.4808797823
272	0.4799161546
273	0.479142352
274	0.4779479354
275	0.4771792135
276	0.4763967064
277	0.4757138783
278	0.4744191581
279	0.4735753504
280	0.4728344894
281	0.4716150572
282	0.4709087005
283	0.4703097857
284	0.4690887661
285	0.468483465
286	0.4677402253
287	0.466745848
288	0.4659997806
289	0.4652675105
290	0.4643592671
291	0.4634963281
292	0.4628084481
293	0.4617691337
294	0.4610283236
295	0.4602306185
296	0.4590143119
297	0.4582780675
298	0.4576372836
299	0.4569388398
300	0.4561474308
301	0.4555217262
302	0.4548631515
303	0.4541461126
304	0.4534140096
305	0.4526327129
306	0.45191041
307	0.4512360198
308	0.4505724142
309	0.449888993
310	0.4493043542
311	0.4486482973
312	0.4480054085
313	0.447479895
314	0.4468562887
315	0.4463378578
316	0.4456138844
317	0.4449166368
318	0.4442399129
319	0.4436210118
320	0.4430213072
321	0.4422955421
322	0.4416816764
323	0.4410471223
324	0.4402764484
325	0.4396474584
326	0.4390714146
327	0.4371939806
328	0.4365289739
329	0.4357677703
330	0.4350268018
331	0.4343280708
332	0.4337340808
333	0.4331408303
334	0.4324008624
335	0.4318618691
336	0.4311189997
337	0.4304375675
338	0.4295240464
339	0.4273918343
340	0.4267600778
341	0.4261435409
342	0.4256642467
343	0.4252394524
344	0.4247664129
345	0.4242299959
346	0.4234931991
347	0.4227216945
348	0.4221124222
349	0.4215849169
350	0.4211565346
351	0.4204539037
352	0.4198404354
353	0.4193636643
354	0.4188032182
355	0.4183870872
356	0.4178018229
357	0.4173550604
358	0.4168401989
359	0.4161359332
360	0.4154557509
361	0.4149450727
362	0.414151288
363	0.4136630161
364	0.413096935
365	0.4125790047
366	0.4121720196
367	0.4113284204
368	0.410854855
369	0.4103136825
370	0.4096081488
371	0.4091308987
372	0.4085042483
373	0.40807378
374	0.4076318535
375	0.4066177025
376	0.4061521077
377	0.4056549573
378	0.4051980427
379	0.4047416864
380	0.4042544066
381	0.4038073416
382	0.4032958268
383	0.4028739526
384	0.4024011037
385	0.4019276833
386	0.4015430885
387	0.4011474626
388	0.4006751277
389	0.4003524299
390	0.3998002619
391	0.3993575109
392	0.3988207182
393	0.3983196479
394	0.3979377411
395	0.3974465718
396	0.3967397899
397	0.3960095708
398	0.3955246021
399	0.3950746894
400	0.3946614968
401	0.3941952492
402	0.3933273291
403	0.3928622051
404	0.3925074051
405	0.3921492021
406	0.3916310483
407	0.3912146921
408	0.3908208983
409	0.3903245596
410	0.389422692
411	0.3890251456
412	0.3886773197
413	0.3878955185
414	0.3872791433
415	0.3868544537
416	0.3864717907
417	0.3860890161
418	0.3854355915
419	0.3845317509
420	0.3840373975
421	0.3835247723
422	0.3830247743
423	0.3826357525
424	0.3821717223
425	0.381646331
426	0.3812629661
427	0.3807248461
428	0.3800121349
429	0.3792384459
430	0.3788387066
431	0.3781939415
432	0.3771479047
433	0.3764556934
434	0.3759877117
435	0.3752670492
436	0.3749452977
437	0.3745920347
438	0.3742185811
439	0.3738919122
440	0.3734944277
441	0.3730703559
442	0.3726427835
443	0.3722822341
444	0.371949077
445	0.3715652965
446	0.3702849372
447	0.3699414475
448	0.3694794006
449	0.3691273118
450	0.3687689547
451	0.3685406661
452	0.3682503175
453	0.3673342292
454	0.366894501
455	0.3665459653
456	0.3662519016
457	0.3657604854
458	0.3654153288
459	0.3650967485
460	0.3647913607
461	0.364342795
462	0.3640309884
463	0.3636937532
464	0.3632642576
465	0.3629156281
466	0.3624202257
467	0.3619667225
468	0.3616983572
469	0.3614374961
470	0.3611540569
471	0.3608627241
472	0.3604357505
473	0.3600847214
474	0.359843671
475	0.3595854156
476	0.3593040464
477	0.3589418737
478	0.3586884947
479	0.3584478359
480	0.3577692078
481	0.357458949
482	0.3569480798
483	0.3565246719
484	0.3561812651
485	0.3557972553
486	0.3553514777
487	0.3550910926
488	0.3548935759
489	0.3545185863
490	0.3541173217
491	0.3537735147
492	0.3532246678
493	0.3529947103
494	0.3527430128
495	0.3523488181
496	0.3519734573
497	0.3514595764
498	0.3510121804
499	0.3507351317
500	0.350437096
501	0.3501844588
502	0.3499769914
503	0.3497422796
504	0.3491504365
505	0.3487215925
506	0.3484477463
507	0.3481847303
508	0.3479742129
509	0.3477523064
510	0.3473224964
511	0.347034947
512	0.3466731328
513	0.3464541822
514	0.3460404693
515	0.3456208307
516	0.3452963939
517	0.3448104216
518	0.3446283327
519	0.344405552
520	0.3437692996
521	0.3435319982
522	0.3432757319
523	0.342961998
524	0.3427572198
525	0.342529065
526	0.3421257286
527	0.3419176476
528	0.341610635
529	0.3414204806
530	0.3410181298
531	0.3408304274
532	0.340612922
533	0.3402804835
534	0.3399965112
535	0.3391864556
536	0.3389687442
537	0.3386500961
538	0.338013858
539	0.3376131757
540	0.3372606475
541	0.3366021498
542	0.3363791476
543	0.3360456569
544	0.3356889178
545	0.3354668494
546	0.335192011
547	0.3349162094
548	0.3346098444
549	0.3343789542
550	0.3341159633
551	0.3338880404
552	0.3336740489
553	0.3335280511
554	0.3320770957
555	0.331924
556	0.3315514144
557	0.331313376
558	0.3310272469
559	0.3307895911
560	0.3306036763
561	0.3302889205
562	0.3300210645
563	0.3286513289
564	0.3284242694
565	0.3282240551
566	0.3278637211
567	0.3275925764
568	0.3274382819
569	0.3272372423
570	0.3267590285
571	0.3264974237
572	0.3260486573
573	0.3258637437
574	0.3254186463
575	0.3252118637
576	0.3249315755
577	0.3248384323
578	0.3246254756
579	0.3244533947
580	0.3242260663
581	0.3240516625
582	0.3239042105
583	0.323598293
584	0.3234145748
585	0.3232285393
586	0.3230230843
587	0.3225608189
588	0.3223379691
589	0.3222124302
590	0.321923724
591	0.3217317108
592	0.3215712738
593	0.3214093209
594	0.3212469897
595	0.3210956334
596	0.3207745326
597	0.3204712081
598	0.3200160953
599	0.319803431
600	0.3196258491
601	0.3192731938
602	0.3190363339
603	0.3187119263
604	0.318498903
605	0.3183274917
606	0.3181124056
607	0.3178094843
608	0.3176659934
609	0.3173975811
610	0.3169488725
611	0.3167947283
612	0.3165845158
613	0.316236052
614	0.3160977463
615	0.3158061717
616	0.3156644374
617	0.3155526871
618	0.3153582347
619	0.3151616511
620	0.3147304723
621	0.3146019954
622	0.31446823
623	0.3140592945
624	0.3138615523
625	0.3135662807
626	0.3133810541
627	0.3131804975
628	0.3129597971
629	0.3128364826
630	0.3126965096
631	0.3120090865
632	0.3118724884
633	0.3115150101
634	0.3114031303
635	0.3109820325
636	0.3107946482
637	0.3106680706
638	0.3105891578
639	0.3102167033
640	0.3099100026
641	0.3097435425
642	0.3095463901
643	0.309212119
644	0.308989591
645	0.3085748133
646	0.3084071896
647	0.3081732524
648	0.3076902721
649	0.307514295
650	0.307182035
651	0.3070623571
652	0.3066264657
653	0.3064557185
654	0.3055138417
655	0.3053083459
656	0.3052258152
657	0.3051119993
658	0.304881921
659	0.3046802887
660	0.3045803175
661	0.3042850029
662	0.3041708986
663	0.3039996461
664	0.303860747
665	0.3037053548
666	0.3032981555
667	0.3030993705
668	0.3029547345
669	0.3027209457
670	0.3025689351
671	0.3021567704
672	0.301932961
673	0.3015411891
674	0.3013847518
675	0.3012601123
676	0.3011605015
677	0.3008717968
678	0.3007714745
679	0.3006188048
680	0.3000984846
681	0.2998137573
682	0.2995417689
683	0.299314842
684	0.2991525189
685	0.2989239698
686	0.2987814939
687	0.2986486819
688	0.2984316409
689	0.2983182088
690	0.2981641882
691	0.297981808
692	0.297763666
693	0.2976696329
694	0.2972419452
695	0.2969452786
696	0.2966699268
697	0.2964137012
698	0.296072734
699	0.2958436467
700	0.2955901811
701	0.295256715
702	0.2950217462
703	0.2948927131
704	0.294694661
705	0.2946111159
706	0.2945053325
707	0.2943460993
708	0.2942284104
709	0.2940395716
710	0.2937896162
711	0.2936369438
712	0.2934541222
713	0.2933370287
714	0.2931181711
715	0.2930123052
716	0.2927078991
717	0.2925963063
718	0.2925038449
719	0.2923798857
720	0.292270829
721	0.2911820775
722	0.2910439291
723	0.2905673407
724	0.2904723456
725	0.2903382937
726	0.2902516403
727	0.290120891
728	0.29002996
729	0.2897527495
730	0.2896478194
731	0.2894648552
732	0.2892706342
733	0.2891611001
734	0.2890368284
735	0.2888574663
736	0.2886915564
737	0.2885670548
738	0.2884757054
739	0.288142468
740	0.2879604457
741	0.287811293
742	0.2876042551
743	0.287413059
744	0.2873104877
745	0.2872096753
746	0.2870863456
747	0.2869039585
748	0.2867957414
749	0.2866907228
750	0.2864969488
751	0.2864211432
752	0.2862756269
753	0.286167957
754	0.2859966169
755	0.2857503966
756	0.2855000554
757	0.2851995735
758	0.2851109969
759	0.2849835089
760	0.2847021971
761	0.2843585615
762	0.2840838599
763	0.2839007015
764	0.2837124115
765	0.283639929
766	0.2835119949
767	0.2834353962
768	0.2833481759
769	0.2832691477
770	0.283150231
771	0.2830178045
772	0.2828325629
773	0.2827479541
774	0.2825594429
775	0.2824946055
776	0.2823777693
777	0.2822876251
778	0.2821863647
779	0.28204684
780	0.2818598457
781	0.2817933828
782	0.2812957853
783	0.2812150738
784	0.2811123877
785	0.2808913289
786	0.2807700733
787	0.2806538817
788	0.2805719759
789	0.2801873478
790	0.280003859
791	0.2798019275
792	0.279602935
793	0.2794056943
794	0.2793220123
795	0.2792678289
796	0.2791574347
797	0.278800255
798	0.278683433
799	0.2785581626
800	0.2784218645
801	0.2783421894
802	0.2782803469
803	0.2782216416
804	0.2778478589
805	0.2777671525
806	0.2776013737
807	0.2773995477
808	0.2772570009
809	0.2771919749
810	0.2770156381
811	0.2769246876
812	0.2768516126
813	0.2767452775
814	0.2765827914
815	0.2763645679
816	0.2761557136
817	0.2760306052
818	0.2759292782
819	0.2755654978
820	0.2754169884
821	0.2753198244
822	0.275260193
823	0.2751820044
824	0.2749099135
825	0.2746910804
826	0.2745977776
827	0.2745047271
828	0.274416526
829	0.2743509909
830	0.2742646335
831	0.2742218488
832	0.2741518963
833	0.2740930941
834	0.2738014235
835	0.2734768766
836	0.2732534485
837	0.273048872
838	0.2729036117
839	0.2726588324
840	0.2723852374
841	0.2723221713
842	0.272125732
843	0.2719404812
844	0.2718644274
845	0.2716790454
846	0.271393903
847	0.2712344065
848	0.2711147962
849	0.2710087404
850	0.2709470726
851	0.2708154526
852	0.2707179841
853	0.2703769706
854	0.2702893421
855	0.2702467647
856	0.270186963
857	0.2700892866
858	0.2700386976
859	0.2699059984
860	0.2697959948
861	0.269719417
862	0.2694575532
863	0.2693890648
864	0.2692523294
865	0.2691886156
866	0.2690485107
867	0.2688382177
868	0.2687853705
869	0.2686789957
870	0.2677476563
871	0.2676775742
872	0.2676242735
873	0.2675897254
874	0.2675436426
875	0.2673698814
876	0.2673131757
877	0.2669957456
878	0.2669120949
879	0.2668614102
880	0.266671346
881	0.2666164107
882	0.266529932
883	0.2664477299
884	0.2662318223
885	0.2661694123
886	0.2659421542
887	0.2657686577
888	0.2655596377
889	0.2655086361
890	0.2654317013
891	0.265372693
892	0.2653232889
893	0.265226267
894	0.2651812689
895	0.265090283
896	0.2650166498
897	0.2649109662
898	0.2648668624
899	0.2642581645
900	0.2642085339
901	0.2639428071
902	0.2638966619
903	0.2638376115
904	0.2635648548
905	0.2635164685
906	0.2634448309
907	0.2633799855
908	0.2632962832
909	0.2632375154
910	0.2631955152
911	0.2631155879
912	0.2629924783
913	0.26287144
914	0.2628118639
915	0.2627724889
916	0.2627316638
917	0.2626816087
918	0.2626068553
919	0.2625280596
920	0.2624457209
921	0.2623539689
922	0.2623123393
923	0.2622344364
924	0.2620975691
925	0.2620413801
926	0.261836702
927	0.2617449168
928	0.2616984597
929	0.2611729321
930	0.2610995575
931	0.2609390704
932	0.2608584817
933	0.2608144547
934	0.2607171234
935	0.260628596
936	0.2605731987
937	0.2604930013
938	0.2603955379
939	0.2603031242
940	0.2602400647
941	0.2601952909
942	0.2600600557
943	0.2600094843
944	0.2599685892
945	0.259771382
946	0.2597125702
947	0.2596740888
948	0.2596210508
949	0.2595492109
950	0.2594932735
951	0.2594104672
952	0.2593315278
953	0.2592300047
954	0.2591783333
955	0.259080791
956	0.2590106755
957	0.2588975488
958	0.2587475633
959	0.258505909
960	0.258358121
961	0.2583012317
962	0.2581786123
963	0.2580578403
964	0.2580028296
965	0.2579638014
966	0.2578629036
967	0.25778867
968	0.2576887003
969	0.2576199178
970	0.2575694666
971	0.257499681
972	0.2574353636
973	0.257389731
974	0.2573619527
975	0.2573068356
976	0.257234964
977	0.2571973918
978	0.2570853333
979	0.2570538864
980	0.256996496
981	0.2569487348
982	0.256531665
983	0.256417289
984	0.2563658626
985	0.2562212961
986	0.2561744344
987	0.2560703177
988	0.256019581
989	0.2555687035
990	0.2555200657
991	0.2554699576
992	0.2554363444
993	0.2552808591
994	0.2552068297
995	0.255067626
996	0.2549173346
997	0.2547428786
998	0.2546683458
999	0.2546142916
